Question Text,Option 1 Text,Option 2 Text,Option 3 Text,Option 4 Text Answer
During a D1 extension pattern. The agonist periscapular muscles are?,"Serratus Anterior, Pectoralis Major and Anterior Deltoid","Rhomboids, Middle Trapezius and Middle Deltoid","Rhomboids, Lower Trapezius and Posterior Deltoid","Rhomboids, Middle Trapezius and Posterior Deltoid"
During a D1 extension pattern. The scapula is in?,"Depression, Protraction, Upward Rotation","Depression, Protraction, Downward Rotation","Depression, Retraction, Upward Rotation","Depression, Retraction, Downward Rotation"
During a D1 flexion pattern. The scapula is in?,"Elevation, Protraction, Downward Rotation","Elevation, Retraction, Upward Rotation","Elevation, Retraction, Downward Rotation","Elevation, Protraction, Upward Rotation"
During a D1 flexion pattern. The prime movers are?,"Serratus Anterior, Pectoralis Major, Levator Scapulae","Serratus Anterior, Pectoralis Major and Supraspinatus","Serratus Anterior, Pectoralis Major and Subscapularis","Serratus Anterior, Pectoralis Major and Anterior Deltoid"
During a D2 flexion pattern. The prime movers for the scapula are?,"Serratus Anterior, Rhomboids and Middle Trapezius","Serratus Anterior, Upper and Lower Trapezius","Serratus Anterior, Rhomboids and Lower Trapezius","Serratus Anterior, Levator Scapulae and Lower Trapezius"
During a D2 flexion pattern. The shoulder is in?,"Extension, Abduction, Internal Rotation","Flexion, Adduction, Internal Rotation","Extension, Adduction, Internal Rotation","Flexion, Abduction, External Rotation"
During a D2 extension pattern. The shoulder is in?,"Flexion, Abduction, External Rotation","Flexion, Adduction, Internal Rotation","Extension, Abduction, Internal Rotation","Extension, Adduction, Internal Rotation"
You are treating a 70 year old patient for deconditioning. The patient presents with mild cognitive impairment and short-term memory deficits but follows with verbal cueing. Which program is most appropriate for the patient?,One that requires attention to detail,One that alternatives exercises on consecutive days,One that is dependent on the pain scale,One that has individual exercise selection
"You are treating a 4 year old with a learning disability. There was initially low participation during therapy, however you created a reward system where the child can earn stickers for participating in exercises. This type of learning is?",Noncontingent Conditioning,Classical Conditioning,Declarative Learning,Operative Conditioning
"You are reviewing the medical history of an oncology patient to prescribe an exercise program. The following information is obtained: hematocrit 23%, hemaglobin levels 7 g/dl, platelet 3500/mm3, white blood cell count 375/mm2",Active exercise is permitted,Gentle exercise is permitted,Light resistance exercise is permitted,Exercise is contraindicated
"You are evaluating a patient with a diagnosis of rotator cuff tendinopathy. The physician prescribed three sessions of physiotherapy per week, however after assessment you believe once a week is appropriate. The most appropriate action is to___?",Ask the patient what they would prefer,Inquire the amount of coverage permitted by the patient's insurance,Follow the prescription,Inform the attending physician of your rationale and continue with your treatment plan
You were referred to evaluate an inpatient with dysmobility recovering from a pulmonary embolism from the attending physician. However upon chart review you do not find any orders for physiotherapy. The most appropriate action is to?,Assess the patient and document you are awaiting activity orders,Inform nursing to put patient back in bed until rounds the next day,Assess the patient but do not directly treat,Obtain activity orders from the physician
"As a person transitions from middle age to old age, which of the following would not be expected to significantly change?",Blood Pressure,Stroke Volume,Cardiac Output,Resting heart rate
You are treating a patient with a fibular head fracture. The physician orders the use of ultrasound at 2.2 W/cm^2 on the fracture site. The most appropriate action is to?,Follow the physicians orders are indicated,Stop treating the patient,Use short wave diathermy instead,Contact the attending physician
One of the patients you are treating is feeling nauseous since his new prescription. The most appropriate action is to?,Inform them that nausea is a common medical side-effect,Inform the patient to stop taking the medicaiton,Tell the patient to visit the emergency,Tell the patient to see their physician
You are teaching an inpatient a 3-point gait with axillary crutches. The most appropriate step is to?,Provide written instruction of a 3-point gait,Help the patient identify the differences between 2-point and 3-point gait,Demonstrate the 3-point gait pattern,Provide patient with direct verbal feedback on their performance
You are working in acute care and want to know the effectiveness of treating psoriasis with ultraviolet light. The most appropriate action is to?,Design a study to examine the effectiveness of this intervention,Determine if this current patient population is statistically powered enough,Submit a proposal to the hospital's ethics board,Conduct a research review with your team
"As part of a hospital quality improvement project, the physiotherapy department is deciding to collect data on patient satisfaction on early mobilisation. The most appropriate action is to?",Design the survey,Determine if this current patient population is statistically powered enough,Modify care standards based on data,Identify the correct statistical tests for this study
"You design a research study that examines the effect of shockwave on patellar tendinopathy pain pressure thresholds (PPT) and subjective pain scales (VAS). In this study, PPT and VAS are? ",Confounding Variables,Independent Variables,Criterion Variables,Dependent variables
A physiotherapist is preparing to treat a patient with a left middle cerebral artery stroke. The goal is to improve their bed mobility. The most important step is to?,Avoid using medical vocabulary,Speak loudly to the patient,Use a variety of teaching methods,Assess the patient's orientation and global cognition
You are treating a patient with T8 paraplegia that makes an offensive remark to you. The most appropriate action is?,Chart the incident,Transfer the patient to another therapist,Discharge the patient,Inform the patient that their behavior is inappropriate and continue treatment
Which of the following numbers is most appropriate for a 34 year old active male's maximal heart rate?,192,195,180,186
You are treating a 16 year old patient that appears uncomfortable and is not providing an insightful information on her injury. The most appropriate action is to?,Speak more directly and clearly to the patient,Inform the patient on the risks of not exercising,Inform the patient you need her to communicate to be able to help her,Request the patient's parents come in
A patient is asking you their expected level of function from a grade I anterior talofibular ligament injury. The most accurate attribute of this is?,Age and medical history,Compliace with exercises,Efficacy of physiotherapy,Previous level of activity
You are reviewing the results of a pulmonary function tests of a patient with chronic obstructive pulmonary disease. Which of the following results is not typical of a patient with COPD?,Increased functional residual capacity,Increased expiratory flow,Increased residual volume,Increased airflow
You are reviewing the results of a pulmonary function tests of a patient with idiopathic pulmonary fibrosis. Which of the following results is not typical of a patient with idiopathic pulmonary fibrosis?,Decreased functional residual capacity,Decreased expiratory flow,Decreased residual volume,Decreased airflow
"During a family meeting for a patient with multiple sclerosis, one of the participants discusses the patients progress with bathing and grooming activities. This info brought by?",Physician,Physiotherapist,Social Worker,Occupational Therapist
You are attempting to palpate the tibialis posterior tendon. To access this structure you should ask the patient to?,Evert and plantarflex their foot,Invert and dorsiflex their foot,Evert and dorsiflex their foot,Invert and plantarflex their foot
You are attempting to palpate the tibialis anterior tendon. To access this structure you should ask the patient to?,Invert and plantarflex their foot,Invert and dorsiflex their foot,Evert and plantarflex their foot,Evert and dorsiflex their foot
You are attempting to palpate the peroneal tendons. To access this structure you should ask the patient to?,Invert and plantarflex their foot,Invert and dorsiflex their foot,Dorsiflex their foot,Evert their foot
You are attempting to palpate the flexor hallucis longus. o access this structure you should ask the patient to?,Invert and dorsiflex their foot,Flex their toe and invert their foot,Invert and plantarflex their foot,Flex their toe and plantarflex their foot
A 24 year old male is rehabilitating from a traumatic brain injury and is unable to bathe and dress independently. This is an example of?,Indirect impairment,Composite Impairment,Handicap,Disability
This patient has a long term goal of independently ambulating with a cane for ~50m in their home with a left ankle orthosis. The following are all short term goals except for?,To perform 10 repetitions x 2 sets of mini squats with supervision,To ambulate in the parallel bars for 5 meters minimal assist ,Family to be educated on the use of the ankle-foot orthosis.,Perform a sit to stand transfer with the contact guard
"A patient is recovering from a cerebral vascular accident and referred to physiotherapy. When testing this patient's kinesthesia, the most reliable method is?",Have them name the object without visual input,Have them describe the direction and position their extremities during motion,Have them describe if the stimuli is sharp or dull,Have them describe the position of their extremity in a static position
"A patient is recovering from a cerebral vascular accident and referred to physiotherapy. When testing this patient's proprioception, the most reliable method is?",Have them describe the position of their extremity in a static position,Have them name the object without visual input,Have them describe if the stimuli is sharp or dull,Have them describe the direction and position their extremities during motion
"A patient is recovering from a cerebral vascular accident and referred to physiotherapy. When testing this patient's graphesthesia, the most reliable method is?",Have them describe the position of their extremity in a static position,Have them describe the direction and position their extremities during motion,Have them describe if the stimuli is sharp or dull,Have them name the object without visual input
"A patient is recovering from a cerebral vascular accident and referred to physiotherapy. When testing this patient's spinothalamic tract, the most reliable method is?",Have them describe the position of their extremity in a static position,Have them describe the direction and position their extremities during motion,Have them name the object without visual input,Have them describe if the stimuli is sharp or dull
You are assessing a patient with a cerebellar tumor. Which of the following is not associated with this condition?,Ataxia,Dysmetria,Dysdiadochokinesia,Athetosis
You are assessing a patient with a vestibular neuritis. Which of the following is not associated with this condition?,Tinnitus,Nystagmus,Nausea,Ataxia
You are treating a soccer player that recently injured their right knee. What is the most appropriate test for an anterior cruciate ligament tear?,Lachman's Test,Anterior Drawer,Magnetic Resonance Imaging,Arthroscopy
You are treating a 22 year old soccer player that has a grade II medial collateral ligament sprain. Which objective findings best describe the injury above.,"Tenderness on palpation, loss of function, localized swelling","Mild tenderness on palpation, normal range of motion","Mild tenderness on palpation, abnormal range of motion, severe loss of function","Abnormal range of motion, localized swelling, moderate loss of function"
You are treating a 22 year old soccer player that has a pes anserine bursopathy. Which objective findings best describe the injury above.,"Tenderness on palpation, loss of function, localized swelling","Abnormal range of motion, localized swelling, moderate loss of function","Mild tenderness on palpation, abnormal range of motion, severe loss of function","Mild tenderness on palpation, normal range of motion, moderate loss of function"
You are treating a patient recovering from a total knee arthroplasty with goals of regaining their independence with mobility. Which part of the treatment program can be appropriate to delegate to a physical therapy aide?,Stair training,Progressive gait training with a 2WW,Education regarding the surgery,Ambulation with a 2WW
A seat belt is occasionally used with a patient in a wheelchair to promote safe positioning. To optimize this the seat belt shoulder will be positioned.,An allowance of 8-10 cm of lateral movement,Promote 30 degree angle of pull to the hips in sitting,Attached to the seat of the chair to align the ischial tuberosities on the seat,Promote 45 degree angle of pull of the hips in sitting
"For a patient with chronic bronchitis, one of the cardinal signs of the presence of a chronic cough with expectoration. How long should these signs persist for to warrant diagnosis?",5 years,1 year,6 consecutive months,3 months within two years
During a subjective assessment it is recommended to not ask leading questions to the patient to avoid biases. Which of the following are not leading?,Does this increase your pain?,Does your pain increase with activity?,Does your pain increase at night,Does this alter your pain?
You are designing an exercise program for a boy with type 1 diabetes. How does exercise influence the patient's insulin demands?,It is contraindicated for their insulin requirements,It increases their insulin requirements,It has no effect on their insulin requirements,It reduces their insulin requirements
A variety of infection categories require different personal protective equipment. Which of the following is invariant to the different categories?,N95 Mask,Medical Mask,Gloves,Hand Washing
You are assessing a patient's respiratory rate during an IPPA examination. What is the standard time frame to measure the number of breaths?,45 seconds,60 seconds,30 seconds,15 seconds
You are evaluating a patient with a suspected supraspinatus tendinitis. They also have dementia and are not oriented. What objective information would provide the most useful information?,Tenderness on palpation,Strength Test,Full Can Test,Active movement
A patient has been referred to you 6 months after a tripartite fracture of the right tibia. Which phase of healing is consistent with their status?,Acute Phase,Subacute Phase,Chronic Phase,Remodeling Phase
Taking vital signs is fundamental to the scope of a physiotherapist. The purpose of obtaining vitals include all except?,Assessing the effectiveness of treatment,Assessing baseline values for a patient,Assessing in goal setting and treatment planning,Assessing a patient's rehabilitation potential
A male physiotherapist is treating a female with low back pain. For the evaluation the therapist asks the patient to change into a gown. However the patient feels very uncomfortable about this. The most appropriate step would be to?,Offer to transfer the patient to a female therapist,Continue the assessment,Attempt to treat the patient without using the gown,Bring a female staff member into the treatment room
You are evaluating a patient in a wheelchair. After completing the evaluation the therapist determines the wheelchair has inadequate seat width. Which of the following is the most likely consequence?,Excessive pressure under the distal hamstrings,Excessive pressure on the ischial tuberosities,Excessive pressure in the popliteal fossa,Excessive pressure on the greater trochanter
You are assessing a patient that you think has an acute posterior cruciate ligament sprain. The mechanism of injury for this injury is?,Anterior directed force applied to the tibia when the foot is fixed,"Forceful hyperextension, internal rotation of the tibia with external rotation of the body",Valgus force applied to the knee when the foot is fixed,Forceful landing on the anterior tibia with the knee hyperflexed
You are assessing a patient that you think has an acute anterior cruciate ligament sprain. The mechanism of injury for this injury is?,Forceful landing on the anterior tibia with the knee hyperflexed,Anterior directed force applied to the tibia when the foot is fixed,Valgus force applied to the knee when the foot is fixed,"Forceful hyperextension, internal rotation of the tibia with external rotation of the body"
You are assessing a patient that you think has an acute medial collateral ligament sprain. The mechanism of injury for this injury is?,Forceful landing on the anterior tibia with the knee hyperflexed,"Forceful hyperextension, internal rotation of the tibia with external rotation of the body",Anterior directed force applied to the tibia when the foot is fixed,Valgus force applied to the knee when the foot is fixed
The knee bolt on an above knee prosthesis is usually rotated five degrees to account for?,External rotation during stance phase,Internal rotation during stance phase,External rotation during swing phase,Internal rotation during swing phase
"Practical recommendations to avoid unneccessary ligitation include all of the following, however the most important is?",Conduct a thorough initial assessment,Instruct patients carefully in all exercise activities,Keep referral physician informed,Maintain accurate and timely chart notes
A patient is diagnosed with a left adhesive capsulitis of the shoulder to 30 degrees of external rotation. Which mobilization techniques would be indicated,Lateral distraction and anterior glide,Lateral distraction and posterior glide,Medial distraction and inferior glide,Medial distraction and posterior glide
"Your former patient calls to ask for advice after hurting his back in a work related accident. You work in a place without direct access, but would like to help your former patient. The most appropriate response would be?",Refer them to a family physician to rule out red flags,Arrange a time for the patient to come into your clinic for immediate treatment,Prescribe flexion extension and heat every few hours,"Explain to the patient that you would be happy to treat his condition, however since oyu have not assessed him in person it would be inappropriate to prescribe treatment over the phone."
Which pulse location can be used to assess a patient in cardiac arrest and to monitor lower extremity circulation?,Radial,Pedal,Popliteal,Femoral
What are the conventional three bony landmarks used to measure the Q angle?,"Anterior superior iliac spine, superior border of the patella, tibial tubercle","Greater trochanter, midpoint of the patella, superior border of the patella tendon.","Anterior superior iliac spine, inferior border of the patella, midpoint of the patella tendon","Anterior superior iliac spine, midpoint of the patella, tibial tubercle"
A 60 year old male patient with a left intertrochanteric fracture is 9 weeks status post open reduction and internal fixation. The atient currently has pain on hip flexion and abduction. The following modalities are acceptable except for?,Heat packs,Whirlpool,Pulsed Ultrasound,Continuous Ultrasound
Which of the following is not a realistic goal of a phase I cardiac rehabilitation program?,Adhere to the prescribed diet,Learn self monitoring techniques,Recognize signs and symptoms of stress,Conduct a job site analysis
Why is an anterior pelvic tilt optimal for a patient in a wheelchair?,Offers an appropriate base of support for the wheelchair propulsion,Provides flexion in the low back and extension of the hips,Provides a stable base of support for control of the lower extremities,Allows for weightbearing on the ischial tuberosities
During an isokinetic test of a patient returning-to-sport following an ACL injury. Which of the following procedures is inaccurate?,Patient is to be educated and informed prior to testing,Submaximal and maximal warm-ups should be performed prior to testing,Verbal commands are consistent,Involved side is tested first to minimize effects of muscle fatigue
"When performing a goniometer measurement, a joint should be placed in the anatomical position. The exception to this rule is?",Wrist Flexion,Wrist Extension,Radial deviation,Forearm supination
You are performing a low level exercise test on a treadmill. Which of the following measurement methods is the most appropriate objective measurement of endurance?,Rating of Perceived Exertion,Respiratory Rate,Step Rate,Heart Rate
"You are performing a low level exercise test on a treadmill, the patient is on a beta-blocker. Which of the following measurement methods is the most appropriate measurement of endurance?",Step rate,Respiratory Rate,Heart Rate,Rating of Perceived Exertion
Which technique would be the most appropriate when assessing the pulse of a patient after exercise?,Placing the palm of the hand firmly over the pulse site.,Find more than one pulse site to ensure accuracy,FInd a pulse site that is comfortable and will not alter the pulse,Count the pulse for 5 seconds and multiple by 12 to determine the beats per minute
You are assessing a patient with congestive heart failure. During the assessment the patient complains of chest pain. The most immediate action is to?,Inform nursing staff to administer nitroglycerin,Inform the attending physician,Inquire further about the location and severity of the pain,Discontinue the treatment session
When patient recovering from a stroke lies on their hemiplegic side. The following are correct statements except for?,Spasticity is decreased due to elongation of the affected side,The hemiplegic leg should be extended at the hip and slightly flexed at the knee,The scapula should be positioned in retraction to reduce flexor spasticity,Awareness of the side is increased
"While palpating the wrist and hand, it is obvious the hamate articulates with which metacarpal?",First,Second,Third,Fourth
"While palpating the wrist and hand, it is obvious the trapezoid articulates with which metacarpal?",First,Fourth,Third,Second
"While palpating the wrist and hand, it is obvious the capitate articulates with which metacarpal?",First,Second,Fourth,Third
You are evaluating a child's gait and note that there is an unsteady gait with a wide base of support. In addition there appears to be minimal truncal bobbing in the anterior & posterior direction. They are unable to maintain closed feet stance over 6 seconds. The area in the brain most likely affected is?,Corticospinal Tracts,Basal Ganglion,Substansia Nigra,Cerebellar Hemisphere
A loss of equilibirum leading to an altered walking gait is caused by damage to?,The posterior cerebellar lobe,The prefrontal lobe,The flocculondular lobe,The anterior cerebellar lobe
Problems with voluntary action and dysdiiadochokinesia is likely caused from damage to?,The frontal zone,The medial zone,The intermediate zone,The lateral zone
"If the axillary nerve was severed, what muscle could laterally rotate the humerus?",Teres major,Subscapularis,Teres Minor,Infraspinatus
"If the suprascapular nerve was severed, what muscle could laterally rotate the humerus?",Teres major,Subscapularis,Infraspinatus,Teres Minor
"If the subscapular nerve was severed, what msucle could medially rotate the humerus",Teres major,Subscapularis,Pectoralis Minor,Pectoralis Major
You are treating a patient with joint mobilisations using distraction. Distraction is used for the following except?,Determine the nature of resistance at end range,Relieve pressure on intra-articular structure,Stretch the joint capulse and adhesions,Unweight the joint articulations
You are designing an exercise program for a patient rehabilitating from an anterior cructiate ligament tear (Grade I). The single most important attribute when prescribing exercises to progress muscular strength is?,The recovery time between sets,The number of repetitions per set,The duration of exercise session,The intensity of the exercise
You are designing an exercise program for a patient rehabilitating from an anterior cructiate ligament tear (Grade I). The single most important attribute when prescribing exercises to progress muscular endurance is?,The recovery time between sets,The intensity of the exercise,The duration of exercise session,The number of repetitions per set
You are designing an exercise program for a patient rehabilitating from an anterior cructiate ligament tear (Grade I). The single most important attribute when prescribing exercises for plyometric exercises are?,The intensity of the exercise,The number of repetitions per set,The duration of exercise session,The recovery time between sets
"You are prescribing exercises to promote hypertrophy and one of your clients mentions that they exclusively perform ""negative work"". What kind of contraction is this?",Purposeful voluntary motion,Muscles develops tension and decreases in length,Muscle length remains constant as tension is developed,Muscle develops tension and increases in length
A 50 year old male with a BMI >30 is in a wheelchair and is attempting to transfer with a sliding board. Which of the instructions is correct?,Perform a series of small bottom-shuffles on the board to move closer to the bed,Lean away from the chair and place the board beneath your glutes,Maintain a slight forward trunk position when transferring,Grasp the edge of the board with your fingers to ensure stability
You are treating a patient 8 weeks post total knee arthyoplasty. Which treatment interventions would be inappropriate for the patient?,Proprioceptive Neuromuscular Facilitation,Straight leg raises and knee extensions,Stationary biking against mild resistance,Joint Mobilization
Your patient has sprained their ankle and is inquiring about the side effects of NSAIDs. Which is the most common side effect?,Fatigue,Rhinitis,Nausea,Abdominal pain
The most common site for an ulnar nerve injury is?,Brachial plexus,Distal wrist crease,Surface of the flexor retinaculum,Medial epicondyle of the humerus
The most common site for an ulnar palmar branch nerve injury is?,Brachial plexus,Medial epicondyle of the humerus,Surface of the flexor retinaculum,Distal wrist crease
All are possible sites of entrapment in pronator syndrome except for?,The Ligament of Struthers,Biciptal aponeurosis,Between the ulnar and humeral heads of the pronator teres,Flexor digitorum profundus
You are treating a patient diagnosed with Ape-Hand Deformity. Which actions will patient's pollicis not be able to perform?,Flexion and extension,Flexion and adduction,Adduction and opposition,Abduction and opposition
You are treating a patient diagnosed with a Ape-Hand deformity. Which nerve is severely affected in this case?,Axillary,Radial,Ulnar,Median
You are treating a patient diagnosed with a Hand of Benediction deformity. Which nerve is severely affected in this case?,Axillary,Radial,Ulnar,Median
You are treating a patient diagnosed with a Claw deformity. Which nerve is severely affected in this case?,Median,Radial,Axillary,Ulnar
You are treating a patient diagnosed with wrist drop. Which nerve is severely affected in this case?,Median,Axillary,Ulnar,Radial
You are treating a 13 year old patient with an anoxic brain injury. They are performing their activities in quadruped. The next likely position in their development is?,Half kneeing,Standing,Plantigrade,Tall Kneeling
What type of electrical current is the most appropriate to stimulate a denervated muscle?,Alternating current,Russian stimulation,Pulsatile current,Direct current
A 80 year old man has orders to be partial weightbearing on the right leg post total hip arthroplasty.  What would you assess to determine which gait aid would be most appropriate?,Lower extremity strength,Hip range of motion,If they are able to follow weightbearing orders and precautions,Upper extremity strength
A 80 year old man has orders to be partial weightbearing on the right leg post total hip arthroplasty.  His upper extremity strength is 3/5. Which device would be the most appropriate?,Cane,Quad Cane,Axillary Crutches,Two wheeled walker
Which of the following situations would be contraindicated when using a transcutaneous electrical nerve stimulation?,Over an arthritic joint,During labor and delivery,To dimish phantom limb pain,During pregnancy
You are treating a patient post-abdominal surgery. During your assessment you auscultate bilateral atelectasis on the lower lobes. What is the most appropriate exercise for the patient?,Pursed lip breathing,Coughing every hour,Apical breathing,Diaphragmatic breathing
You are working in acute care and come across several lines on a patient. Which of the following is not used by an intravenous line?,Infuse fluids,Infuse electrolytes,Access for a catheter into the central circulatory system,Obtain arterial blood samples
Which of the following components of a research paper will be the last to appear?,Abstract,Methods,Results,Discussion
"Clinicians participate in research to further the field of physiotherapy.  What type of measurement scale is the mobiltiy scale of independent, stand-by, moderate, minimal and maximal",Interval,Ratio,Ordinal,Nominal
You are treating a child with cystic fibrosis and one of the treatment interventions is bronchial drainage. Which of the following lunge segments is not appropriate for drainage?,Right Lower Lobe,Left Upper Lobe,RIght Upper Lobe,Left middle lobe
You have completed an assessment of a 6 month old infant and determined no developing abnormalities. Which reflexes would not be present?,Asymmetric Tonic Neck Reflex,Symmetrical Tonic Neck Reflex,Landau Reflex,Moro Reflex
You are providing a graded exercise test for your cardiac rehabilitation patient. Which of the following drugs has an increased effect on heart rate and blood pressure during exercise?,Anti-anxiety,Anti-hypertension,Beta-Blockers,Bronchodilators
You are providing a graded exercise test for your cardiac rehabilitation patient. Which of the following drugs has an decreased effect on heart rate and blood pressure during exercise?,Anti-anxiety,Anti-hypertension,Bronchodilators,Beta-Blockers
"For a patient in cardiac rehabilitation and on medication, what would be an appropriate measurement during an exercise test?",Heart Rate,Blood Pressure,EKG Readings,Rate of Perceived Exertion
You are a locum therapist covering a colleague who was caring for a patient with a traumatic brain injury. You have performed a chart review but remain anxious about the evaluation. The most important area for the therapist to assess is?,Extent of surgical involvement,Sensation,Muscle tone,Level of communication
You are treating a soccer player on a plinth and ask them to bring their left hip and knee towards their chest. What are you assessing?,Left quadriceps length,Left hip flexor length,Right quadriceps length,Right hip flexors length
You begin prosthetic training activities with a patient that has a right below knee amputation. Which of the following is most appropriate?,Ascending and descending stairs,Marching in place,Walking on even ground,Weight shifting in standing
You are measuring a horizontal leap of the varsity long jump team. You then calculate the difference between the highest and lowest values in the distribution. What measure of variability are you studying?,Mode,Variance,Standard deviation,Range
Joint replacements are a modern surgical product that allows individuals to achieve a higher level of independence and function. What is its primary indication?,Joint effusion,Restricted range of motion,Muscle Atrophy,Pain
You are treating a patient that is in respiratory isolation with Influenza A. What precautions are necessary when treating the patient?,Mask,"Mask, gown","Gloves, gown","Mask, gloves, gown"
You are treating a patient and ask them to lie supine with their knees bent to 90 degrees over the edge of a treatment table. Then you ask the patient to bring their left knee to their chest and you are examining how their right hip changes with knee flexion. What information are you obtaining by this test?,Biceps femoris length,Vastus intermedialus length,Iliopsoas Length,Rectus femoris length
You are treating a patient and ask them to bring both legs halfway to their hips. You then ask them to straighten on leg at a time. What information are you obtaining by this test?,Biceps femoris length,Semitendinosus length,Semimembranosus length,All of the above
"In preparation for diaphragmatic breathing exercises, you ask a patient to place their dominant hand over their abdomen. When should you apply counterpressure over their hand?",At the end of exhalation,At the end of inhalation,During exhalation,During inhalation
You are attending an inservice on scoliosis. Which is an inaccurate statement?,A 15-20 degree is considered to be mild scoliosis,Bracing can be an effective treatment tool,Early detection through school screening is essential,Extension of the trunk produces a posterior rib hump
A patient has limited joint accessory joint motion on the left hip. You are unsure if joint mobilization techniques are indicated since the patient's condition is acute. Which of the following would be most appropriate?,Active stretching exercise only,Avoid all stretching or mobilization until the patient is pain free,Grade IV and V Mobilization,Grade I and II Mobilization
"You are treating a patient that has pain and numbness in the posterior leg, calf and dorsal foot. Extension of the hallux is poor, however the Achilles reflex is strong. What spinal level would you expect to be involved?",L4,S2,S1,L5
"You are treating a patient that has pain and numbness in the posterior leg, calf and dorsal foot. Extension of the hallux is strong, however the Achilles reflex is poor. What spinal level would you expect to be involved?",L4,L5,S2,S1
You are treating a 16 year old patient post-open reduction of a Colles fracture. Upon your examination there is swelling on the dorsum of the hand and limited flexion of the metacrophalangeal joint in all digits. The most appropriate heating modality is?,Ultrasound,Hot packs,Short wave diathermy,Paraffin
You are treating a 80 year old patient post-total hip arthroplasty. All of the following are essential in a pre-operative consultation except for?,Deep breathing and coughing exercises,Hip precautions in early bed mobility,Proper use of an adduction pillow,Use of a 2 wheeled walker
A 25 year old motorcyclist sustains a T9 vertebral fracture. The orthopedic surgeon attempts to resist forward thoracic flexion. Which would be the most appropriate device?,Minvera cervical thoracic orthosis,Philadelphia collar,Sternal-occipital-mandibular immobilizer,Thoracolumbar-Sacral-Orthosis
